职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
python开发工程师,1.2万-1.7万,滨江,1-3年,本科,Golang、Python、Linux、Flask、NumPy、MySQL、Redis、GIT,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40422515016.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,12000.0,17000.0
软件开发（Java、C++、Python）,1.5万-3万 · 16薪,滨江,经验不限,本科,后端开发、WEB开发、全栈开发,外企德科,http://jobs.zhaopin.com/CC138117190J40397548405.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,20000.0,40000.0
上市公司招python实习生+双休,3千-4千,滨江,经验不限,大专,代码、Python,爱才集团有限公司,http://jobs.zhaopin.com/CCL1246426550J40508516610.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,3000.0,4000.0
测试开发74（1年+经验，接受23届，学信网本科，专科/专升本/民办本科不合适）,8千-1万 · 13薪,滨江,经验不限,本科,Python、测试开发、工具开发,武汉讯锡云科技有限公司,http://jobs.zhaopin.com/CC566069530J40512512505.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,8666.666666666666,10833.333333333334
杭州-IT技术工程师,9千-1万,拱墅,经验不限,本科,Java、Python、MySQL、Oracle,外企德科,http://jobs.zhaopin.com/CC138117190J40496013105.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,9000.0,10000.0
数据分析岗,1.3万-1.8万 · 14薪,上城,3-5年,本科,Java、Python、机器学习、决策树、神经网络、聚类算法、回归算法,杭州越秀房地产开发有限公司,http://jobs.zhaopin.com/CC404414110J40533246014.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,15166.666666666666,21000.0
python开发工程师,1.4万-2.8万 · 13薪,西湖,1-3年,本科,GO、C++、Python web框架、PHP,中电金信软件有限公司,http://jobs.zhaopin.com/CC443657520J40457476709.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,15166.666666666668,30333.333333333336
JAVA/python/GO/C/C++/Web前端开发等岗位,1.5万-3万 · 14薪,滨江,经验不限,本科,Java、Python、Web前端、前端开发、CSS、后端开发、Linux、WEB开发,外企德科,http://jobs.zhaopin.com/CC138117190J40323462505.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,17500.0,35000.0
渠道数据分析专员,8千-1.3万,上城,1-3年,本科,数据治理、数据挖掘、Sql、Python,顾家家居,http://jobs.zhaopin.com/CC204356520J40485928304.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,8000.0,13000.0
数据分析师,1万-1.5万,上城,1-3年,本科,SQL、BI、SPSS、Python,杭州君远健康科技有限公司,http://jobs.zhaopin.com/CC309285280J40156725005.htm?refcode=4019&srccode=401901&preactionid=352b001d-7951-4e35-a8cd-0f8c953742e5,杭州,python,10000.0,15000.0
java/C/python/C++工程师（保底14薪，全额五险一金，试用期不打折，接受应届生）,1.9万-3.5万,滨江,经验不限,本科,Java、GIS开发、图形图像开发、音视频开发、深度学习框架、MFC、OpenGL、HALCON、Theano、Keras,外企德科,http://jobs.zhaopin.com/CC138117190J40337424905.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,19000.0,35000.0
游戏测试助理,4千-6千,滨江,1-3年,大专,Python,南京建成网络科技有限公司,http://jobs.zhaopin.com/CCL1389529550J40473464009.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,4000.0,6000.0
生信分析工程师,1.2万-1.7万 · 14薪,杭州,1-3年,本科,Python、遗传、基因芯片,杭州金诺医学检验实验室有限公司,http://jobs.zhaopin.com/CC323630080J40314887714.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,14000.0,19833.333333333336
python开发工程师,1.6万-3万 · 14薪,滨江,经验不限,本科,Python并发框架、Python可视化库、后端开发、linux,外企德科,http://jobs.zhaopin.com/CC138117190J40479714505.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,18666.666666666664,35000.0
python自动化测试,1万-1.5万,滨江,1-3年,本科,Python、Linux,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40489257516.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,10000.0,15000.0
数据分析师（电信运营商行业）,1.2万-1.8万,西湖,3-5年,本科,数据分析、Sql、Python,北京道隆华尔软件股份有限公司,http://jobs.zhaopin.com/CC142589010J40468370113.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,12000.0,18000.0
python开发工程师,1.3万-2.6万 · 14薪,滨江,经验不限,本科,全栈开发、前端开发、后端开发、嵌入式开发,外企德科,http://jobs.zhaopin.com/CC138117190J40481956005.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,15166.666666666666,30333.333333333332
上市公司计算机专业实习生+双休,3千-4千,滨江,经验不限,大专,Python,爱才集团有限公司,http://jobs.zhaopin.com/CCL1246426550J40512039810.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,3000.0,4000.0
Python开发工程师（接受转语言、广州职场）,2.5万-4万 · 16薪,上城,3-5年,本科,C++、Python、Golang、Java、MySQL、Redis,深圳市汇德信息技术服务科技有限公司,http://jobs.zhaopin.com/CCL1313501180J40479695113.htm?refcode=4019&srccode=401901&preactionid=c1721e83-8b14-4344-9af0-b79d4e1183fb,杭州,python,33333.333333333336,53333.333333333336
